tag,serial,mac,hostname
S11-73,WM052534W-51718,F4:54:24:69:81:40,AP710-S11F.501i.73
S11-74,WM052534W-52039,F4:54:24:69:2B:00,AP710-S11F.501i.74
S11-75,WM052534W-51675,F4:54:24:69:89:C0,AP710-S11F.501i.75
S11-76,WM052534W-52324,F4:54:24:69:A0:40,AP710-S11F.501i.76
S11-77,WM052534W-52136,F4:54:24:69:AE:80,AP710-S11F.501i.77
S12-78,WM052534W-52295,F4:54:24:69:C1:80,AP710-S12F.501i.78
S12-79,WM052534W-52232,F4:54:24:69:D2:00,AP710-S12F.501i.79
S12-80,WM052534W-52575,F4:54:24:69:D3:00,AP710-S12F.501i.80
S12-81,WM052534W-52227,F4:54:24:69:DA:80,AP710-S12F.501i.81
S12-82,WM052534W-52351,F4:54:24:6A:12:00,AP710-S12F.501i.82
S12-83,WM052534W-51099,F4:54:24:68:94:00,AP710-S12F.501i.83
S13-84,WM052534W-52593,F4:54:24:69:EA:40,AP710-S13F.501i.84
S13-85,WM052534W-52045,F4:54:24:68:C5:00,AP710-S13F.501i.85
S13-86,WM052534W-51353,F4:54:24:69:6E:40,AP710-S13F.501i.86
S13-87,WM052534W-51097,F4:54:24:69:52:80,AP710-S13F.501i.87
S13-88,WM052534W-51677,F4:54:24:69:39:80,AP710-S13F.501i.88
S13-89,WM052533W-51311,F4:54:24:66:8A:80,AP710-S13F.501i.89
S14-90,WM052534W-52242,F4:54:24:6A:07:80,AP710-S14F.501i.90
S14-91,WM052534W-52147,F4:54:24:69:D5:40,AP710-S14F.501i.91
S14-92,WM052534W-52336,F4:54:24:69:E9:80,AP710-S14F.501i.92
S14-93,WM052534W-51226,F4:54:24:69:29:40,AP710-S14F.501i.93
S14-94,WM052534W-51204,F4:54:24:69:88:00,AP710-S14F.501i.94
S14-95,WM052534W-51867,F4:54:24:69:16:80,AP710-S14F.501i.95
S15-96,WM052533W-51362,F4:54:24:66:83:C0,AP710-S15F.501i.96
S15-97,WM052534W-52101,F4:54:24:69:FC:C0,AP710-S15F.501i.97
S15-98,WM052534W-51752,F4:54:24:69:36:C0,AP710-S15F.501i.98
S15-99,WM052534W-51234,F4:54:24:69:25:40,AP710-S15F.501i.99
S15-100,WM052534W-52529,F4:54:24:69:F2:C0,AP710-S15F.501i.100
S16-101,WM052534W-51250,F4:54:24:69:54:00,AP710-S16F.501i.101
S16-102,WM052534W-51071,F4:54:24:69:3F:00,AP710-S16F.501i.102
S16-103,WM052534W-51379,F4:54:24:69:0C:C0,AP710-S16F.501i.103
S16-104,WM052534W-52277,F4:54:24:69:D6:80,AP710-S16F.501i.104
S16-105,WM052534W-51481,F4:54:24:69:23:80,AP710-S16F.501i.105
S16-106,WM052534W-51472,F4:54:24:69:32:40,AP710-S16F.501i.106
S17-107,WM052534W-51180,F4:54:24:69:23:40,AP710-S17F.501i.107
S17-108,WM052534W-51113,F4:54:24:69:49:00,AP710-S17F.501i.108
S17-109,WM052534W-50339,F4:54:24:67:AD:40,AP710-S17F.501i.109
S17-110,WM052533W-51255,F4:54:24:66:65:C0,AP710-S17F.501i.110
S17-111,WM052534W-50979,F4:54:24:67:E0:00,AP710-S17F.501i.111
S18-112,WM052534W-51337,F4:54:24:69:3A:C0,AP710-S18F.501i.112
S18-113,WM052534W-51597,F4:54:24:68:98:C0,AP710-S18F.501i.113
S18-114,WM052534W-51059,F4:54:24:68:D2:80,AP710-S18F.501i.114
S18-115,WM052534W-51900,F4:54:24:69:3B:00,AP710-S18F.501i.115
